image_id,split,background,image_path,mask_path,label_source,edge_ring_width,foreground_fraction
10015,train,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/dark/10015.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/dark/10015.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10016,train,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/dark/10016.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/dark/10016.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10017,train,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/dark/10017.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/dark/10017.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10018,train,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/dark/10018.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/dark/10018.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10019,train,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/dark/10019.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/dark/10019.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10020,train,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/dark/10020.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/dark/10020.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10021,validation,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/validation/images/dark/10021.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/validation/masks/dark/10021.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10022,train,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/dark/10022.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/dark/10022.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10023,train,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/dark/10023.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/dark/10023.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10024,test,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/test/images/dark/10024.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/test/masks/dark/10024.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10025,test,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/test/images/dark/10025.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/test/masks/dark/10025.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10026,train,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/dark/10026.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/dark/10026.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10027,test,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/test/images/dark/10027.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/test/masks/dark/10027.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10028,test,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/test/images/dark/10028.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/test/masks/dark/10028.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10029,test,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/test/images/dark/10029.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/test/masks/dark/10029.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10030,train,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/dark/10030.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/dark/10030.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10031,train,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/dark/10031.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/dark/10031.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10032,train,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/dark/10032.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/dark/10032.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10033,train,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/dark/10033.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/dark/10033.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10034,validation,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/validation/images/dark/10034.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/validation/masks/dark/10034.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10035,validation,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/validation/images/dark/10035.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/validation/masks/dark/10035.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10036,train,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/dark/10036.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/dark/10036.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10037,train,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/dark/10037.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/dark/10037.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10038,train,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/dark/10038.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/dark/10038.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10039,validation,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/validation/images/dark/10039.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/validation/masks/dark/10039.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10040,train,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/dark/10040.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/dark/10040.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10041,train,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/dark/10041.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/dark/10041.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10042,validation,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/validation/images/dark/10042.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/validation/masks/dark/10042.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10043,train,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/dark/10043.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/dark/10043.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10044,train,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/dark/10044.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/dark/10044.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10045,train,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/dark/10045.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/dark/10045.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10046,test,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/test/images/dark/10046.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/test/masks/dark/10046.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10047,train,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/dark/10047.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/dark/10047.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10048,train,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/dark/10048.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/dark/10048.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10049,test,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/test/images/dark/10049.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/test/masks/dark/10049.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10050,validation,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/validation/images/dark/10050.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/validation/masks/dark/10050.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10051,train,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/dark/10051.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/dark/10051.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10052,train,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/dark/10052.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/dark/10052.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10053,train,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/dark/10053.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/dark/10053.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10054,train,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/dark/10054.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/dark/10054.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10055,train,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/dark/10055.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/dark/10055.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10056,train,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/dark/10056.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/dark/10056.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10057,train,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/dark/10057.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/dark/10057.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10058,train,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/dark/10058.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/dark/10058.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10059,train,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/dark/10059.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/dark/10059.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10060,train,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/dark/10060.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/dark/10060.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10061,train,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/dark/10061.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/dark/10061.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10062,train,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/dark/10062.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/dark/10062.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10063,train,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/dark/10063.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/dark/10063.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10064,train,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/dark/10064.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/dark/10064.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10065,train,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/dark/10065.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/dark/10065.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10066,train,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/dark/10066.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/dark/10066.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10067,train,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/dark/10067.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/dark/10067.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10068,train,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/dark/10068.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/dark/10068.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10069,validation,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/validation/images/dark/10069.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/validation/masks/dark/10069.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10070,train,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/dark/10070.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/dark/10070.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10071,train,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/dark/10071.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/dark/10071.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10072,test,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/test/images/dark/10072.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/test/masks/dark/10072.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10073,validation,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/validation/images/dark/10073.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/validation/masks/dark/10073.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10074,test,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/test/images/dark/10074.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/test/masks/dark/10074.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10075,train,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/dark/10075.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/dark/10075.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10076,train,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/dark/10076.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/dark/10076.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10077,validation,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/validation/images/dark/10077.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/validation/masks/dark/10077.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10078,train,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/dark/10078.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/dark/10078.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10079,train,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/dark/10079.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/dark/10079.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10080,train,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/dark/10080.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/dark/10080.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10081,train,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/dark/10081.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/dark/10081.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10082,validation,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/validation/images/dark/10082.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/validation/masks/dark/10082.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10083,train,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/dark/10083.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/dark/10083.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10084,train,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/dark/10084.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/dark/10084.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10085,train,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/dark/10085.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/dark/10085.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10086,train,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/dark/10086.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/dark/10086.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10087,test,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/test/images/dark/10087.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/test/masks/dark/10087.png,proxy_ring_from_counting_mask,80,0.11847639083862305
