image_id,split,candidate_tiles,saved_tiles,saved_positive_tiles,saved_negative_tiles,source_boxes,elapsed_seconds,status
1080,val,25,25,1,24,1,0.03231699999741977,success
1081,train,25,25,25,0,99,0.0296786249964498,success
1082,train,25,8,6,2,5,0.023560458997962996,success
1083,train,25,6,4,2,2,0.020989749995351303,success
1084,train,25,4,2,2,2,0.023480541000026278,success
1085,train,25,7,5,2,6,0.02126700000371784,success
1086,train,25,9,7,2,7,0.02572412500012433,success
1087,train,25,4,2,2,2,0.023391708004055545,success
1088,train,25,25,23,2,130,0.03389670800243039,success
1089,test,25,25,22,3,71,0.03280424999684328,success
109,train,25,2,0,2,0,0.022916416004591156,success
1090,train,25,20,18,2,98,0.027772999994340353,success
1091,val,25,25,19,6,41,0.03133525000157533,success
1092,test,25,25,23,2,120,0.032124999997904524,success
1093,train,25,25,24,1,101,0.03268579200084787,success
1094,train,25,16,14,2,18,0.027511874999618158,success
1095,train,25,25,24,1,204,0.03470749999542022,success
1096,train,25,20,18,2,31,0.031962667002517264,success
1097,test,25,25,3,22,2,0.03192208299878985,success
1098,train,25,22,20,2,75,0.0312904169986723,success
1099,test,25,25,16,9,15,0.028510167001513764,success
11,train,25,2,0,2,0,0.019544624999980442,success
110,train,25,2,0,2,0,0.017959250006242655,success
1100,train,25,21,19,2,102,0.029176707997976337,success
1101,train,25,25,24,1,95,0.03158729099959601,success
1102,val,25,25,2,23,1,0.03286683400074253,success
1103,val,25,25,21,4,60,0.03240495800127974,success
1104,train,25,20,18,2,20,0.031104124995181337,success
1105,train,25,25,24,1,101,0.03669287500088103,success
1106,train,25,4,2,2,1,0.020969167002476752,success
1107,train,25,4,2,2,1,0.021442541998112574,success
1108,test,25,25,5,20,5,0.032433458996820264,success
1109,val,25,25,19,6,32,0.033390167001925875,success
111,train,25,2,0,2,0,0.020720250002341345,success
1110,val,25,25,16,9,48,0.03349320899724262,success
1111,val,25,25,5,20,4,0.03293583299819147,success
1112,train,25,19,17,2,26,0.032927374995779246,success
1113,train,25,14,12,2,14,0.02822237500367919,success
1114,val,25,25,5,20,3,0.033020290997228585,success
1115,train,25,17,15,2,16,0.02714508299686713,success
1116,val,25,25,5,20,4,0.03207224999641767,success
1117,train,25,9,7,2,7,0.02286416699644178,success
1118,train,25,24,22,2,105,0.03774279200297315,success
1119,val,25,25,9,16,6,0.04774816700228257,success
112,train,25,2,0,2,0,0.021747958002379164,success
1120,val,25,25,20,5,77,0.035452124997391365,success
1121,val,25,25,22,3,74,0.03351950000069337,success
1122,train,25,8,6,2,3,0.022422541995183565,success
1123,train,25,3,1,2,1,0.01854783399903681,success
1124,train,25,17,15,2,23,0.027930708005442284,success
1125,test,25,25,20,5,46,0.03120554100314621,success
1126,train,25,19,17,2,15,0.02943833400058793,success
1127,train,25,10,8,2,10,0.024206083005992696,success
1128,train,25,12,10,2,6,0.02645995799684897,success
1129,train,25,23,21,2,44,0.03138408300583251,success
113,train,25,2,0,2,0,0.018751582996628713,success
1130,train,25,20,18,2,43,0.030544084002031013,success
1131,train,25,25,23,2,61,0.029498875002900604,success
1132,train,25,7,5,2,5,0.025859166998998262,success
1133,train,25,25,23,2,44,0.03087683300691424,success
1134,train,25,24,22,2,83,0.030741375005163718,success
1135,train,25,4,2,2,2,0.020198999998683576,success
1136,train,25,19,17,2,18,0.027194666006835178,success
1137,val,25,25,3,22,3,0.032239291998848785,success
1138,train,25,23,21,2,63,0.027509083003678825,success
1139,train,25,24,22,2,136,0.02876970900251763,success
114,test,25,25,0,25,0,0.02978912500111619,success
1140,train,25,24,22,2,93,0.03301595800439827,success
1141,val,25,25,2,23,1,0.029282375006005168,success
1142,train,25,25,25,0,181,0.036289458999817725,success
1143,val,25,25,25,0,190,0.03189379100513179,success
1144,train,25,16,14,2,18,0.026791584001330193,success
1145,test,25,25,2,23,1,0.02886804100126028,success
1146,train,25,25,23,2,107,0.033865249999507796,success
1147,train,25,5,3,2,2,0.01954466699680779,success
1148,train,25,25,25,0,107,0.03271487500023795,success
1149,train,25,4,2,2,1,0.02353512500121724,success
115,train,25,2,0,2,0,0.01979041699814843,success
1150,train,25,25,24,1,117,0.03519854199839756,success
1151,train,25,4,2,2,2,0.02299129199673189,success
1152,train,25,17,15,2,18,0.029024417002801783,success
1153,val,25,25,18,7,61,0.0347189169988269,success
1154,train,25,3,1,2,2,0.02235649999784073,success
1156,train,25,25,23,2,146,0.03572879199782619,success
1157,train,25,3,1,2,1,0.018904500000644475,success
1158,val,25,25,3,22,2,0.030910333996871486,success
1159,train,25,6,4,2,4,0.021747541999502573,success
116,train,25,2,0,2,0,0.018182583000452723,success
1160,train,25,25,24,1,111,0.03244350000022678,success
1161,train,25,3,1,2,1,0.020873958004813176,success
1162,train,25,20,18,2,38,0.029993666998052504,success
1163,train,25,5,3,2,2,0.024116749998938758,success
1164,train,25,3,1,2,1,0.020511624999926426,success
1165,train,25,23,21,2,108,0.03227579100348521,success
1166,train,25,23,21,2,70,0.032795624996651895,success
1167,train,25,6,4,2,2,0.023455792004824616,success
1168,train,25,14,12,2,17,0.025793124994379468,success
1169,train,25,19,17,2,40,0.027502791002916638,success
117,val,25,25,0,25,0,0.030510083000990562,success
1170,train,25,16,14,2,14,0.029874207997636404,success
1171,train,25,25,24,1,73,0.03457462499500252,success
1172,train,25,8,6,2,7,0.02134358400508063,success
1173,val,25,25,17,8,22,0.03289112500351621,success
11738,train,25,2,0,2,0,0.02094300000317162,success
11739,train,25,2,0,2,0,0.020652457998949103,success
1174,train,25,10,8,2,7,0.02592200000071898,success
11740,train,25,2,0,2,0,0.02062116599699948,success
11741,train,25,2,0,2,0,0.020311916996433865,success
11742,train,25,2,0,2,0,0.021547125004872214,success
11743,train,25,2,0,2,0,0.021823584000230767,success
11744,train,25,2,0,2,0,0.020271374996809755,success
11745,train,25,2,0,2,0,0.02030745799856959,success
11746,train,25,2,0,2,0,0.020128541997110005,success
11747,train,25,2,0,2,0,0.02099712499330053,success
11748,val,25,25,0,25,0,0.03160474999458529,success
11749,train,25,2,0,2,0,0.02100225000322098,success
1175,test,25,25,7,18,7,0.030614584000431933,success
11750,train,25,2,0,2,0,0.02036766699893633,success
11751,train,25,2,0,2,0,0.02060600000550039,success
11752,train,25,2,0,2,0,0.020140417000220623,success
11753,train,25,2,0,2,0,0.020518958001048304,success
11754,train,25,2,0,2,0,0.020504250001977198,success
11755,val,25,25,0,25,0,0.031496875002630986,success
11756,train,25,2,0,2,0,0.02106900000217138,success
11757,train,25,2,0,2,0,0.020510333000856917,success
11758,train,25,2,0,2,0,0.020293000001402106,success
11759,train,25,2,0,2,0,0.020674542000051588,success
1176,train,25,8,6,2,4,0.020679875000496395,success
11760,train,25,2,0,2,0,0.020506208995357156,success
11761,val,25,25,21,4,54,0.03381229100341443,success
11762,train,25,24,22,2,39,0.03275108399975579,success
11763,train,25,4,2,2,1,0.021773209002276417,success
11764,test,25,25,19,6,41,0.03216012500342913,success
11765,train,25,5,3,2,2,0.022421833004045766,success
11766,test,25,25,17,8,42,0.03219058299873723,success
11767,test,25,25,6,19,7,0.032670916996721644,success
11768,train,25,3,1,2,1,0.021400208002887666,success
11769,train,25,4,2,2,1,0.021424124999612104,success
1177,train,25,7,5,2,3,0.023813457999494858,success
11770,train,25,25,23,2,42,0.03350808300456265,success
11771,train,25,25,23,2,56,0.033812417001172435,success
11772,train,25,23,21,2,44,0.031257249996997416,success
11773,train,25,11,9,2,5,0.025550082995323464,success
11774,train,25,6,4,2,3,0.023337332997471094,success
11775,train,25,23,21,2,32,0.03185358299379004,success
11776,train,25,25,24,1,47,0.043841083999723196,success
11777,test,25,25,16,9,24,0.03218179100076668,success
11778,train,25,13,11,2,4,0.02774691600643564,success
11779,train,25,17,15,2,12,0.03126249999331776,success
1178,train,25,13,11,2,23,0.027804792000097223,success
11780,train,25,25,24,1,45,0.03356333400006406,success
11781,val,25,25,22,3,55,0.03389683400018839,success
11782,train,25,3,1,2,1,0.02154162499937229,success
11783,test,25,25,4,21,3,0.03148387499823002,success
11784,test,25,25,2,23,1,0.0326187500031665,success
11785,train,25,23,21,2,38,0.03203641599975526,success
11786,train,25,23,21,2,35,0.03240783399814973,success
11787,train,25,25,23,2,93,0.03374875000008615,success
11788,train,25,24,22,2,62,0.0334190830035368,success
11789,test,25,25,9,16,8,0.032929208005953114,success
1179,val,25,25,4,21,4,0.03090491700277198,success
11790,train,25,8,6,2,4,0.02533779200166464,success
11791,train,25,3,1,2,1,0.022161916000186466,success
11792,train,25,8,6,2,3,0.0251137499944889,success
11793,train,25,5,3,2,3,0.02265337499557063,success
11794,train,25,22,20,2,24,0.04531999999744585,success
11795,train,25,4,2,2,2,0.04189174999919487,success
11796,train,25,20,18,2,33,0.03170266700180946,success
11797,train,25,4,2,2,2,0.022159874999488238,success
11798,train,25,9,7,2,6,0.02462379200005671,success
11799,train,25,23,21,2,36,0.03241487500054063,success
118,train,25,2,0,2,0,0.0189147499986575,success
1180,train,25,3,1,2,1,0.018977667001308873,success
11800,test,25,25,18,7,22,0.032899625002755783,success
11801,train,25,18,16,2,41,0.030068499996559694,success
11802,train,25,10,8,2,4,0.025887458003126085,success
11803,val,25,25,14,11,14,0.03228399999352405,success
11804,train,25,25,23,2,50,0.03386695899826009,success
11805,val,25,25,21,4,52,0.03493745799642056,success
11806,val,25,25,2,23,1,0.03311245800432516,success
11807,train,25,11,9,2,6,0.02666424999915762,success
11808,train,25,22,20,2,49,0.033707000002323184,success
11809,train,25,9,7,2,4,0.025247707999369595,success
1181,train,25,15,13,2,16,0.026717834000010043,success
11810,train,25,9,7,2,5,0.025187833001837134,success
11811,train,25,23,21,2,35,0.032627207998302765,success
11812,train,25,8,6,2,5,0.02459745799569646,success
11813,train,25,16,14,2,35,0.03132920899952296,success
11814,train,25,10,8,2,4,0.025355958001455292,success
11815,train,25,10,8,2,8,0.02587366700026905,success
11816,val,25,25,4,21,2,0.03263087500090478,success
11817,val,25,25,23,2,56,0.033745041000656784,success
11818,train,25,7,5,2,2,0.0238818750003702,success
11819,train,25,21,19,2,35,0.030963583005359396,success
1182,train,25,3,1,2,1,0.02315870900201844,success
11820,val,25,25,22,3,32,0.033411791002436075,success
11821,test,25,25,10,15,5,0.032778000000689644,success
11822,train,25,17,15,2,20,0.028302666003583,success
11823,train,25,3,1,2,1,0.021570999997493345,success
11824,test,25,25,6,19,2,0.03406912500213366,success
11825,train,25,8,6,2,2,0.023464500001864508,success
11826,train,25,8,6,2,5,0.02387425000051735,success
11827,train,25,13,11,2,12,0.02591162499447819,success
11828,train,25,21,19,2,38,0.03150095899763983,success
11829,test,25,25,21,4,67,0.03404079200117849,success
1183,train,25,4,2,2,1,0.022866708000947256,success
11830,train,25,6,4,2,2,0.022632209002040327,success
11831,val,25,25,21,4,40,0.03353024999523768,success
11832,train,25,21,19,2,35,0.049619999997958075,success
11833,val,25,25,23,2,44,0.03454641599819297,success
11834,train,25,24,22,2,40,0.032313000003341585,success
11835,train,25,12,10,2,6,0.02665366699511651,success
11836,train,25,25,24,1,53,0.03427070900215767,success
11837,test,25,25,4,21,4,0.03262104199529858,success
11838,train,25,23,21,2,30,0.033848416998807807,success
11839,val,25,25,17,8,36,0.03404662500543054,success
1184,test,25,25,13,12,9,0.032269208000798244,success
11840,train,25,4,2,2,2,0.022004917002050206,success
11841,train,25,21,19,2,40,0.03143474999524187,success
11842,train,25,23,21,2,42,0.033070916004362516,success
11843,train,25,25,23,2,56,0.03261387500242563,success
11844,test,25,25,22,3,80,0.032838790997629985,success
11845,train,25,9,7,2,4,0.024608916995930485,success
11846,train,25,6,4,2,3,0.022864999999001157,success
11847,test,25,25,4,21,3,0.03357345899712527,success
11848,train,25,5,3,2,2,0.02268329200160224,success
11849,test,25,25,15,10,6,0.03211633299360983,success
1185,train,25,11,9,2,7,0.02377350000460865,success
11850,train,25,18,16,2,9,0.028667750004387926,success
11851,train,25,23,21,2,27,0.03251716600061627,success
11852,train,25,3,1,2,1,0.022276791001786478,success
11853,train,25,16,14,2,20,0.028264207998290658,success
11854,train,25,20,18,2,23,0.030230667005525902,success
11855,train,25,22,20,2,50,0.034036915996694006,success
11856,train,25,9,7,2,3,0.025184375001117587,success
11857,train,25,10,8,2,6,0.025591749996237922,success
11858,train,25,25,24,1,43,0.03301616600219859,success
11859,train,25,4,2,2,1,0.02191725000011502,success
1186,train,25,25,25,0,182,0.034888290996605065,success
11860,test,25,25,20,5,43,0.03392116600298323,success
11861,train,25,25,23,2,45,0.032686332997400314,success
11862,train,25,7,5,2,5,0.02342158299870789,success
11863,train,25,4,2,2,1,0.022501125000417233,success
11864,train,25,25,24,1,81,0.03360570799850393,success
11865,test,25,25,3,22,2,0.03414120900561102,success
11866,train,25,25,23,2,51,0.03330450000066776,success
11867,train,25,24,22,2,50,0.03192841599957319,success
11868,train,25,6,4,2,3,0.023813334002625197,success
11869,val,25,25,5,20,3,0.032845708999957424,success
1187,train,25,25,24,1,97,0.0356181250026566,success
11871,val,25,25,6,19,5,0.0326369579997845,success
11872,train,25,22,20,2,43,0.03267108299769461,success
11873,train,25,11,9,2,5,0.025178457995934878,success
11874,val,25,25,20,5,44,0.03289599999698112,success
11875,test,25,25,7,18,4,0.032657457995810546,success
11876,test,25,25,22,3,41,0.036555917002260685,success
11877,val,25,25,15,10,19,0.03498620800382923,success
11878,test,25,25,5,20,2,0.03421900000103051,success
11879,train,25,12,10,2,5,0.02703766700142296,success
1188,train,25,23,21,2,40,0.03063612499681767,success
11880,test,25,25,20,5,41,0.03415079100523144,success
11881,train,25,8,6,2,5,0.024442791000183206,success
11882,train,25,24,22,2,47,0.03256133299873909,success
11883,train,25,10,8,2,5,0.025614291997044347,success
11884,test,25,25,21,4,31,0.03230337500281166,success
11885,train,25,21,19,2,26,0.03161912499490427,success
11886,train,25,25,24,1,61,0.03413658300269162,success
11887,train,25,22,20,2,48,0.03355070800171234,success
11888,test,25,25,17,8,13,0.032548625000345055,success
11889,train,25,23,21,2,28,0.03201187499507796,success
1189,train,25,16,14,2,19,0.030262874999607448,success
11890,train,25,5,3,2,3,0.022738709005352575,success
11891,train,25,21,19,2,36,0.030833750002784654,success
11892,train,25,15,13,2,29,0.0276921249969746,success
11893,train,25,21,19,2,23,0.03194916700158501,success
11894,train,25,24,22,2,46,0.033767209002689924,success
11895,train,25,13,11,2,5,0.026487290997465607,success
11896,train,25,24,22,2,40,0.03320625000196742,success
11897,val,25,25,21,4,34,0.03208066699880874,success
11898,train,25,8,6,2,4,0.024762042005022522,success
11899,val,25,25,15,10,9,0.03231604200118454,success
119,test,25,25,0,25,0,0.03273020900087431,success
1190,test,25,25,15,10,25,0.03367337500094436,success
11900,train,25,3,1,2,1,0.021937541001534555,success
11901,train,25,24,22,2,45,0.03207512500375742,success
11902,train,25,11,9,2,6,0.025622125001973473,success
11903,val,25,25,10,15,6,0.03385183299542405,success
11904,train,25,20,18,2,38,0.031173082999885082,success
11905,val,25,25,21,4,61,0.03293324999685865,success
11906,train,25,24,22,2,36,0.032535416998143774,success
11907,train,25,22,20,2,35,0.030889749999914784,success
11908,test,25,25,8,17,4,0.034326957997109275,success
11909,train,25,24,22,2,53,0.03284391699708067,success
1191,train,25,12,10,2,10,0.02711937500134809,success
11910,train,25,11,9,2,6,0.025118750003457535,success
11911,test,25,25,22,3,61,0.03356299999722978,success
11912,val,25,25,5,20,5,0.03326454200578155,success
11913,train,25,25,23,2,56,0.03436462499666959,success
11914,test,25,25,21,4,42,0.054745749999710824,success
11915,train,25,7,5,2,4,0.025151792004180606,success
11916,train,25,7,5,2,4,0.023523208998085465,success
11917,test,25,25,20,5,38,0.032147166995855514,success
11918,test,25,25,7,18,4,0.032510124998225365,success
11919,train,25,20,18,2,23,0.031049874996824656,success
1192,val,25,25,14,11,17,0.034010124996711966,success
11920,test,25,25,4,21,3,0.03222929199546343,success
11921,train,25,22,20,2,35,0.03301908299908973,success
11922,train,25,6,4,2,3,0.024286583997309208,success
11923,train,25,23,21,2,45,0.03191191700170748,success
11924,val,25,25,23,2,58,0.03346850000525592,success
11925,test,25,25,14,11,26,0.03375358299672371,success
11926,train,25,9,7,2,6,0.025009666998812463,success
11927,train,25,3,1,2,1,0.02135574999556411,success
11928,train,25,4,2,2,2,0.022582750003493857,success
11929,test,25,25,7,18,7,0.03419045900227502,success
1193,test,25,25,10,15,13,0.033361166999384295,success
11930,train,25,25,23,2,57,0.034306542002013884,success
11931,train,25,17,15,2,12,0.02934712499700254,success
11932,train,25,8,6,2,4,0.02317837499867892,success
11933,val,25,25,11,14,9,0.03565349999553291,success
11934,train,25,10,8,2,6,0.024949291000666562,success
11935,val,25,25,22,3,54,0.03406070799974259,success
11936,train,25,7,5,2,4,0.023624207999091595,success
11937,val,25,25,4,21,2,0.03439008299756097,success
11938,train,25,24,22,2,36,0.03248345800238894,success
11939,train,25,24,22,2,59,0.03416612499859184,success
1194,train,25,24,22,2,57,0.027967791000264697,success
11940,train,25,19,17,2,18,0.03095454200229142,success
11941,train,25,24,22,2,70,0.03432724999584025,success
11942,train,25,12,10,2,10,0.026845042004424613,success
11943,train,25,13,11,2,5,0.02658783399965614,success
11944,train,25,13,11,2,8,0.02801379199809162,success
11945,train,25,21,19,2,28,0.031117708000238054,success
11946,train,25,24,22,2,58,0.03226083299523452,success
11947,train,25,23,21,2,32,0.03117379199829884,success
11948,train,25,5,3,2,3,0.023479584000597242,success
1195,train,25,9,7,2,5,0.022592457993596327,success
11950,train,25,25,24,1,51,0.03433691700047348,success
11951,train,25,22,20,2,40,0.031408000002556946,success
11952,train,25,23,21,2,46,0.03405499999644235,success
11953,train,25,18,16,2,23,0.030073791996983346,success
11954,train,25,24,22,2,41,0.03161591600655811,success
11955,val,25,25,6,19,4,0.03306058300222503,success
11956,test,25,25,1,24,1,0.032902582999668084,success
11957,train,25,8,6,2,2,0.024600958000519313,success
11958,val,25,25,20,5,28,0.033335874999465887,success
11959,train,25,3,1,2,1,0.021738041999924462,success
1196,train,25,17,15,2,19,0.02503666700067697,success
11960,train,25,12,10,2,6,0.026353250003012363,success
11961,train,25,24,22,2,58,0.03267358399898512,success
11962,test,25,25,3,22,2,0.034953917005623225,success
11963,test,25,25,10,15,6,0.0340368329998455,success
11964,val,25,25,12,13,8,0.03227012499701232,success
11965,train,25,8,6,2,4,0.024784541994449683,success
11966,train,25,22,20,2,38,0.03138675000082003,success
11967,train,25,23,21,2,33,0.033007958001689985,success
11968,test,25,25,18,7,26,0.03250391700566979,success
11969,test,25,25,3,22,5,0.03270683300070232,success
1197,train,25,22,20,2,140,0.028853167001216207,success
11970,train,25,13,11,2,10,0.0270855409980868,success
11971,train,25,22,20,2,36,0.03155170800164342,success
11972,train,25,8,6,2,3,0.023920499996165745,success
11973,test,25,25,12,13,8,0.03319595799985109,success
11974,train,25,5,3,2,3,0.022715458006132394,success
11975,train,25,25,23,2,44,0.03240608399937628,success
11976,train,25,11,9,2,7,0.02672004199848743,success
11977,train,25,24,22,2,52,0.032594791999144945,success
11978,val,25,25,2,23,2,0.03306912500556791,success
11979,train,25,21,19,2,33,0.031120665997150354,success
1198,train,25,22,20,2,61,0.029926540999440476,success
11980,val,25,25,4,21,4,0.03264941700035706,success
11981,val,25,25,7,18,5,0.03347908299474511,success
11982,train,25,25,23,2,47,0.03329733300051885,success
11983,train,25,24,22,2,37,0.03426374999980908,success
11984,train,25,20,18,2,40,0.03054691600118531,success
11985,train,25,25,23,2,46,0.03440929100179346,success
11986,train,25,12,10,2,8,0.025547458993969485,success
11987,train,25,24,22,2,40,0.032673042005626485,success
11988,train,25,22,20,2,41,0.03130062499985797,success
11989,train,25,20,18,2,34,0.032460874994285405,success
1199,val,25,25,24,1,86,0.03388941699813586,success
11990,test,25,25,2,23,1,0.03384312500566011,success
11991,val,25,25,21,4,27,0.035131249998812564,success
11992,train,25,4,2,2,3,0.022043249999114778,success
11993,val,25,25,6,19,4,0.0335602499981178,success
11994,train,25,10,8,2,4,0.025355666999530513,success
11995,train,25,4,2,2,1,0.022254707997490186,success
11996,train,25,24,22,2,55,0.03547699999762699,success
11997,train,25,25,23,2,52,0.03651079099654453,success
11998,train,25,24,22,2,36,0.03456795799866086,success
11999,train,25,5,3,2,2,0.024009707994991913,success
12,train,25,2,0,2,0,0.02392945799510926,success
120,train,25,2,0,2,0,0.020880209005554207,success
1200,val,25,25,7,18,4,0.03387591600039741,success
12000,train,25,24,22,2,47,0.03431475000252249,success
12001,val,25,25,20,5,31,0.035877458001777995,success
12002,train,25,4,2,2,1,0.024123750001308508,success
12003,train,25,25,24,1,52,0.03670974999840837,success
12004,train,25,21,19,2,33,0.04722295800456777,success
12005,val,25,25,7,18,5,0.03561154099588748,success
12006,test,25,25,9,16,9,0.035313374995894264,success
12007,train,25,23,21,2,42,0.03385504100151593,success
12008,train,25,25,23,2,44,0.036132208006165456,success
12009,train,25,23,21,2,32,0.03463875000306871,success
1201,train,25,3,1,2,1,0.02398041600099532,success
12010,train,25,22,20,2,42,0.036180125003738794,success
12011,test,25,25,9,16,6,0.03466458299953956,success
12012,train,25,13,11,2,6,0.028757000000041444,success
12013,train,25,3,1,2,1,0.022148791002109647,success
12014,train,25,6,4,2,4,0.024301582998305093,success
12015,train,25,15,13,2,6,0.0311229170038132,success
12016,train,25,14,12,2,6,0.029442083003232256,success
12017,train,25,7,5,2,5,0.024358041999221314,success
12018,train,25,21,19,2,26,0.03346425000199815,success
12019,val,25,25,2,23,1,0.03522512500057928,success
1202,train,25,10,8,2,16,0.025247875004424714,success
12020,train,25,21,19,2,11,0.03403541700390633,success
12021,train,25,15,13,2,11,0.029115124998497777,success
12022,test,25,25,4,21,3,0.03369104199373396,success
12023,train,25,4,2,2,2,0.022581584002182353,success
12024,test,25,25,22,3,88,0.034119708005164284,success
12025,train,25,5,3,2,3,0.022426541996537708,success
12026,test,25,25,22,3,34,0.033139125000161584,success
12027,train,25,25,23,2,51,0.034917250006401446,success
12028,train,25,23,21,2,41,0.05628812500071945,success
12029,train,25,23,21,2,34,0.03355691599426791,success
1203,train,25,24,22,2,190,0.03568391599401366,success
12030,train,25,11,9,2,7,0.02715679099492263,success
12031,train,25,23,21,2,56,0.033805250001023524,success
12032,train,25,22,20,2,47,0.03178949999710312,success
12033,train,25,20,18,2,24,0.03293166699586436,success
12034,train,25,25,24,1,39,0.03537195799435722,success
12035,train,25,11,9,2,4,0.025672291005321313,success
12036,train,25,22,20,2,42,0.03213620800670469,success
12037,test,25,25,24,1,60,0.03386908399988897,success
12038,test,25,25,3,22,2,0.04844620799849508,success
12039,train,25,21,19,2,42,0.031591583996487316,success
1204,train,25,7,5,2,7,0.025936250000086147,success
12040,test,25,25,3,22,2,0.032706707999750506,success
12041,val,25,25,23,2,49,0.03410145799716702,success
12042,train,25,6,4,2,1,0.022724875001586042,success
12043,train,25,25,23,2,57,0.03336137499718461,success
12044,train,25,23,21,2,35,0.03275199999916367,success
12045,val,25,25,16,9,22,0.032863624997844454,success
